,0
365,000101000100
366,000000010101
367,110001010111
368,000101010101
369,110110010111
370,000101010101
371,000101010101
372,110001010100
373,001110111111
374,111010111111
375,110101010101
376,110101010100
377,000101000101
378,001010111101
379,111010000000
380,000101010111
381,110101111111
382,110001000100
383,000000010111
384,000000010000
385,110001010100
386,110001000101
387,000101101101
388,000000010111
389,110001000101
390,110001011111
391,110001010000
392,000101011101
393,110001010111
394,000000011111
395,000000100111
396,111010011111
397,110110010100
398,110110010100
399,110110010000
400,110101010111
401,110001010101
402,000000010101
403,000000000000
404,000101010100
405,110001010100
406,000101010101
407,110001000111
408,110001011100
409,110001010111
410,110001010101
411,000101101111
412,000101011100
413,000101010000
414,110101010101
415,000101010111
416,000101000000
417,110001010101
418,110001101101
419,110101010101
420,110001010111
421,000000010101
422,000101000000
423,000101011111
424,110001010111
425,110001010111
426,000000010100
427,000101010111
428,000000000101
429,111010000000
430,001110010000
431,000000101111
432,000101011111
433,110101010100
434,000000000111
435,110001010100
436,110001000000
437,110101010101
438,001110000000
439,110001000000
440,000101011101
441,110001010101
442,000000010111
443,000101000000
444,110001101111
445,110110000000
446,110101010101
447,000101010100
448,111010101111
449,111010100101
450,000000101111
451,110001000101
452,000101010101
453,000101011111
454,000000010111
455,110001011111
456,000101010101
457,000101010100
458,110001000111
459,000000010111
460,000101010111
461,000101010101
462,110101011100
463,000101010111
464,000101010111
465,001110010101
466,110001000000
467,000000010101
468,110001010101
469,000101000000
470,110001010100
471,110001000111
472,000000000000
473,000101011111
474,110101010100
475,110001010111
476,000000010100
477,000000010111
478,000101000000
479,000101010101
480,110001000000
481,000000000100
482,111010100101
483,110001010100
484,000101010111
485,000101011111
486,001001010111
487,111110010111
488,000101000000
489,000000010101
490,000000000101
491,110110101111
492,110001010100
493,000101000100
494,000101000000
495,110001010111
496,000000101111
497,000101010100
498,110001000000
499,110001010100
500,110001010101
501,000101010101
502,111010010111
503,000101010100
504,110001000100
505,000000000000
506,000101010111
507,000101101111
508,110001000111
509,000101101111
510,000000000111
511,000000011111
512,000000010111
513,110001000100
514,001001010100
515,110101000100
516,000101000000
517,110001010101
518,000101010111
519,000101000111
520,000101010111
521,110001010101
522,001001010101
523,110001010101
524,110001000000
525,000000010111
526,110001010100
527,000101000000
528,110001010101
529,000101000000
530,000000010100
531,110001010101
532,110101010100
533,110001010101
534,000000010111
535,110101010101
536,111111011101
537,110101010101
538,000101101111
539,110110010000
540,110001010101
541,001010010100
542,000000010100
543,000101000001
544,001010000000
545,000101010101
546,110101010111
547,000000000111
548,110001000000
549,000101100101
550,110001000101
551,000101010000
552,110101010100
553,000000010111
554,111111011100
555,000000000100
556,110001010111
557,110001010111
558,000000010100
559,000000000000
560,001001010101
561,000000000000
562,110001010100
563,000101100101
564,000101101111
565,110001010100
566,110101010100
567,000101010101
568,000101010100
569,110001010101
570,110001000000
571,000101010100
572,110001011100
573,110001000000
574,000000000000
575,110001010101
576,110001010100
577,110101010111
578,110001010101
579,110001000000
580,000000000101
581,001001010000
582,110001000101
583,000101000000
584,111010011101
585,110001000111
586,000101010100
587,000000000000
588,110110000000
589,001010010101
590,111010000000
591,110110010111
592,110101010000
593,110001000000
594,000101011111
595,110001000000
596,110001000101
597,000101010000
598,000000010100
599,000000010111
600,110110010100
601,110001010111
602,110101000000
603,110001011111
604,110001010101
605,000000010101
606,001110101101
607,111010010111
608,000101010111
609,000101010100
610,110001010101
611,111010010000
612,110001010111
613,110001010111
614,110001000100
615,001001111101
616,000000101111
617,000101010100
618,110001010100
619,111010000000
620,000000010101
621,000000000111
622,110101010111
623,110001000111
624,001110010101
625,000101010101
626,000101010111
627,000000010101
628,000101010101
629,001110010000
630,110001010111
631,000101010111
632,000000000101
633,110001000100
634,110001000000
635,000101010100
636,110001010111
637,000000100101
638,110101010101
639,000000010100
640,110001000000
641,000101000000
642,000101101111
643,110101010101
644,110001011101
645,000000010111
646,110001010111
647,110001010111
648,000101010101
649,000101000000
650,001001101111
651,000101000000
652,000101010101
653,000101101111
654,000101010100
655,000000010111
656,000101000000
657,000101100101
658,110001010101
659,000101010111
660,110001010101
661,110001000101
662,001001010101
663,000101011111
664,111010010000
665,000000011111
666,000101010101
667,110001010101
668,000101010100
669,000101010100
670,000000010000
671,000000010101
672,000101101101
673,110001010111
674,000101010001
675,110001011101
676,000101010111
677,110001010100
678,001110000000
679,110001000111
680,111010010101
681,000101010101
682,110101000111
683,110110010101
684,000000010000
685,000101010101
686,000000010101
687,000000010111
688,000101010101
689,000000010111
690,110001000111
691,110001010000
692,000000010101
693,000101010000
694,000000010101
695,001001010100
696,000000000100
697,110101000000
698,000000000101
699,000101011101
700,110001000000
701,000101010100
702,110110010100
703,000101010101
704,110001010111
705,110101100101
706,000000010101
707,110001010101
708,110001010101
709,000101000000
710,000000011111
711,110101010111
712,000101011101
713,000000000000
714,000000111111
715,001110100101
716,000101010111
717,000000011111
718,000000010111
719,110001010101
720,000101011101
721,110001010111
722,110001000000
723,111111010000
724,110001010111
725,110110010000
726,110110010000
727,110001010101
728,111010100101
729,110101010111
730,000101010101
731,000000000000
732,110110000000
733,110001010111
734,110101010100
735,110001000000
736,110001101111
737,000101010000
738,000101101111
739,110001010000
740,000000010101
741,000000000000
742,000101010101
743,000000010111
744,000000111101
745,000000000000
746,110001010101
747,110101000000
748,000000010100
749,000101010101
750,111010010111
751,110001000000
752,110001000000
753,110001010111
754,001001010101
755,110001010101
756,001110000000
757,000101010101
758,000000000100
759,000101000101
760,111010010101
761,110001010111
762,000000000000
763,000000101111
764,110001010111
765,110101000000
766,110001000000
767,110001010100
768,000000010111
769,001110000000
770,110001010100
771,110001101111
772,000101011111
773,001001010111
774,001110010000
775,110001000100
776,000101010111
777,110001010101
778,000101101101
779,111111010101
780,000000010101
781,001010010111
782,000000000000
783,110001000000
784,111010101100
785,000101010000
786,000101010100
787,000101010101
788,001001010101
789,000000010101
790,110110010111
791,000101101111
792,110001000100
793,111010010111
794,000000010111
795,110001010100
796,001001100101
797,110001000000
798,111010010101
799,000101000000
800,001001010111
801,111010000000
802,110001010100
803,000101000100
804,110001010000
805,000000010111
806,110001000000
807,001110010111
808,001001101111
809,110001000000
810,110001000111
811,110001000000
812,000000010101
813,001001010111
814,000101010111
815,111010100100
816,111110010101
817,110001000101
818,110110111111
819,110001000111
820,110001000100
821,110001010111
822,000101010100
823,000101000000
824,110101011101
825,110001000100
826,110101010100
827,000101010111
828,000101100111
829,000101010101
830,000101010101
831,110001000111
832,000000100111
833,110110010100
834,110001000000
835,001001010101
836,110001000100
837,110001000000
838,001110010100
839,110110010111
840,000000010100
841,000000000000
842,110001000111
843,001001010100
844,000101010111
845,000101010100
846,001110100111
847,110001000101
848,001010010100
849,001010000000
850,110101010111
851,000101010100
852,000101000100
853,000000000000
854,000101100101
855,110101010111
856,110110010111
857,000000010100
858,110001010111
859,000000010111
860,000000100101
861,110001010100
862,110101010111
863,000000010000
864,000000000000
865,110001010111
866,110001010111
867,000101010111
868,000101010111
869,110001000100
870,110110100111
871,000101010111
872,000000010111
873,110001000111
874,000000000011
875,110110010101
876,000101011111
877,000000010101
878,000000011101
879,000101010100
880,000101101111
881,111010100100
882,000101010101
883,111111000000
884,110110010101
885,111010010101
886,000101010101
887,000000100101
888,000101101111
889,000101010100
890,000101011111
891,000101010101
892,000101000000
893,000101010111
894,000000000111
895,000000101111
896,110001011101
897,110101010100
898,110101000000
899,000101010111
900,000101010111
901,110110010100
902,000101100111
903,110101010101
904,000101011101
905,000000011111
906,000000000000
907,110001010100
908,110110010000
909,110101000000
910,110101010101
911,110001010000
912,110001010101
913,110001010111
914,000000010100
915,110001111101
916,000000010100
917,001110111111
918,110101010111
919,000101011111
920,110001010101
921,000101111101
922,110001000111
923,000000010101
924,111010100100
925,000101000101
926,110001000111
927,000101100111
928,001010010100
929,000101000000
930,000000000000
931,110001010100
932,000000000111
933,000101010111
934,110001000100
935,000000011101
936,110001000000
937,110001011100
938,000101010101
939,000101101111
940,000101011111
941,000000000000
942,000000000111
943,000101000000
944,110110010100
945,110001100100
946,000000010111
947,000101011101
948,110110000000
949,000000010101
950,110101000000
951,000000000111
952,110001010100
953,110001101101
954,110001010111
955,111010101101
956,001001010000
957,000101000000
958,000101010000
959,000000010111
960,110001000101
961,110110010101
962,000000010111
963,000101010100
964,110001000000
965,110001010111
966,000000010000
967,111010101111
968,110001010111
969,000101000000
970,000000010111
971,000101010000
972,110001000000
973,000101010101
974,110101010100
975,111010010000
976,111111010100
977,000101010111
978,000101000000
979,110001010111
980,001001100101
981,000101011111
982,110001101111
983,000000010101
984,000000000000
985,110001000111
986,110101010101
987,111111010100
988,000000101101
989,001001000000
990,000101000000
991,000101000000
992,110001000000
993,000000011111
994,001001010101
995,110001000000
996,110101011101
997,000101000111
998,000000000100
999,000000010101
1000,111110010101
1001,001110011111
1002,110110101101
1003,110110111111
1004,111111000011
1005,111111101101
1006,001010010101
1007,111110100101
1008,111010010101
1009,110110011111
1010,001110010111
1011,110111011111
1012,110110101101
1013,111010010111
1014,111010010101
1015,110011011111
1016,001110010111
1017,001110010101
1018,111010011111
1019,001110101101
1020,110111010111
1021,110110010101
1022,001010110101
1023,111110010001
1024,111010100101
1025,110110101111
1026,111111010111
1027,001110101111
1028,110110111111
1029,001110111111
1030,001010011101
1031,110011010011
1032,001110010101
1033,001010111101
1034,110110010111
1035,111111010101
1036,001110100111
1037,001110111111
1038,111010010111
1039,111010010111
1040,111110010111
1041,111010111111
1042,111010010111
1043,110110100111
1044,001110010111
1045,110110010111
1046,111010011101
1047,110110010111
1048,111010011111
1049,110110010101
1050,111010010101
1051,001010010101
1052,111010101111
1053,001110010111
1054,111110010101
1055,111010101111
1056,111010010101
1057,110111010111
1058,111010100101
1059,110110010101
1060,110011101111
1061,001110100101
1062,001110101101
1063,111110010101
1064,111111011101
1065,111010101101
1066,111010010111
1067,110011010111
1068,110110011101
1069,001010010111
1070,111010010101
1071,111010010101
1072,001110011111
1073,110110101101
1074,110110111111
1075,111111000011
1076,111111101101
1077,001010010101
1078,111010100101
1079,111010010101
1080,110110011111
1081,001110010111
1082,110111011111
1083,110110101101
1084,111010010111
1085,111010010101
1086,110011011111
1087,001110010111
1088,001110010101
1089,111010011111
1090,001110101101
1091,110011010111
1092,110110111111
1093,001110111111
1094,001110011101
1095,110011010011
1096,001110010101
1097,001010111101
1098,111010010111
1099,111111010101
1100,000101000101
1101,110101010101
1102,001001010101
1103,110001011101
1104,000101010101
1105,000101011101
1106,001110011111
1107,000101010111
1108,110001000101
1109,001001010101
1110,110110011101
1111,000001011111
1112,001001010101
1113,110001001111
1114,110001101101
1115,001001010111
1116,000101011101
1117,000101010101
1118,110001010111
1119,000101011111
1120,000101010111
1121,001110010011
1122,000101011111
1123,000101101111
1124,110001001111
1125,000101000101
1126,000101010111
1127,111110010101
1128,001001100111
1129,001001010111
1130,110101011101
1131,001001010001
